Number,Descriptions,Answer,Unit,Reference,Source,Class
14,The bond length of \(\ce{O2}\) is 120.75 pm. Use the high-temperature approximation to calculate the rotational partition function of the molecule at 300 K,7.21E+01,,"Atkin's Physical Chemistry, 11th.E13B.3(a)",QCBench,Physical
15,Compute the mean energy at 298 K of a two-level system of energy separation equivalent to 500 cm??.,8.15E-22,J,"Atkin's Physical Chemistry, 11th.E13C.1(a)",QCBench,Physical
16,Calculate the standard molar entropy at 298 K of gaseous helium.,126,JK-1mol-1,"Atkin's Physical Chemistry, 11th.E13E.5(a)",QCBench,Physical
17,Calculate the standard molar entropy at 298 K of gaseous xenon.,169.7,JK-1mol-1,"Atkin's Physical Chemistry, 11th.E13E.5(a)",QCBench,Physical
18,"J.G. Dojahn et al. (*J. Phys. Chem.* **100**, 9649 (1996)) characterized the potential energy curves of the ground and electronic states of homonuclear diatomic halogen anions. The ground state of \(\text{F}_2^-\) is \(^2\Sigma_{\text{u}}^+\) with a fundamental vibrational wavenumber of \(450.0\ \text{cm}^{-1}\) and equilibrium internuclear distance of \(190.0\ \text{pm}\). The first two excited states are at \(1.609\) and \(1.702\ \text{eV}\) above the ground state. Compute the standard molar entropy of \(\text{F}_2^-\) at \(298\ \text{K}\).",2.16E+02,JK-1mol-1,"Atkin's Physical Chemistry, 11th.P13E.11",QCBench,Physical
19,"A \(\ce{CO2}\) molecule is linear, and its vibrational wavenumbers are \(1388.2\ \text{cm}^{-1}\), \(2349.2\ \text{cm}^{-1}\), and \(667.4\ \text{cm}^{-1}\), the last being doubly degenerate and the others non - degenerate. The rotational constant of the molecule is \(0.3902\ \text{cm}^{-1}\). Calculate the rotational and vibrational contributions to the molar Gibbs energy at 298 K.","""-13.83"", ""-0.204""",kJ mol-1,"Atkin's Physical Chemistry, 11th.E13F.1(a)",QCBench,Physical
20,"Calculate the magnitude of the dipole moment of the following arrangement of charges in the \(xy\)-plane: \(3e\) at \((0, 0)\), \(-e\) at \((0.32\ \text{nm}, 0)\), and \(-2e\) at an angle of \(20^\circ\) from the \(x\)-axis and a distance of \(0.23\ \text{nm}\) from the origin.",37,D,"Atkin's Physical Chemistry, 11th.E14A.3(a)",QCBench,Physical
21,"Calculate the direction of the dipole moment of the following arrangement of charges in the \(xy\)-plane: \(3e\) at \((0, 0)\), \(-e\) at \((0.32\ \text{nm}, 0)\), and \(-2e\) at an angle of \(20^\circ\) from the \(x\)-axis and a distance of \(0.23\ \text{nm}\) from the origin.",12,o,"Atkin's Physical Chemistry, 11th.E14A.3(a)",QCBench,Physical
22,"At \(0\ ^{\circ}\text{C}\), the molar polarization of liquid chlorine trifluoride is \(27.18\ \text{cm}^3\ \text{mol}^{-1}\) and its mass density is \(1.89\ \text{g}\ \text{cm}^{-3}\). Calculate the relative permittivity of the liquid.",4.75,,"Atkin's Physical Chemistry, 11th.E14A.6(a)",QCBench,Physical
23,"In an industrial process, nitrogen is heated to 500 K at a constant volume of (1.000\ \text{m}^3). The mass of the gas is 92.4 kg. Use the van der Waals equation to determine the approximate pressure of the gas at its working temperature of 500 K. For nitrogen, (a = 1.352\ \text{dm}^6\ \text{atm}\ \text{mol}^{-2}), (b = 0.0387\ \text{dm}^3\ \text{mol}^{-1}). ",140,atm,"Atkin's Physical Chemistry, 11th.E1C.4(a)",QCBench,Physical
24,What pressure would 4.56 g of nitrogen gas in a vessel of volume (2.25\ \text{dm}^3) exert at 273 K if it obeyed the virial equation of state up to and including the first two terms?,1.62,atm,"Atkin's Physical Chemistry, 11th.P1C.1(a)",QCBench,Physical
